link,description,location,price,mileage,region,year,std_location
/nos/cto/6054178257.html,2003 Madza Tribute LX 4x4 112k miles!,Gloucester,3999.0,112000.0,nos/,2003.0,glouc
/sob/cto/6054059074.html,Ford F150 light-duty truck Has Sunroof and 8 cylinders Cylinder Motor,,2050.0,,sob/,2015.0,
/nwb/cto/6054177997.html,2007  TOYOTA RAV4,LAWRENCE,7750.0,,nwb/,2007.0,lawre
/sob/cto/6031899704.html,2006 chevy 1500 xtenda cab 4x4,weymouth,5300.0,,sob/,2006.0,weymo
/gbs/cto/6054112930.html,2013 FORD EXPLORER XLT,everett,20900.0,,gbs/,2013.0,evere
/gbs/cto/6054175468.html,2006 Nissan Altima,Billerica,5700.0,,gbs/,2006.0,bille
/nwb/cto/6054125816.html,61k 2004 Jeep Grand Cherokee Works Great,wilmington,1600.0,61000.0,nwb/,2004.0,wilmi
/gbs/cto/6038270751.html,2004 Toyota Camry 4 Cyl,Boston,3995.0,,gbs/,2004.0,bosto
/gbs/cto/6054172182.html,Toyota camry 1989 $800,Jp,800.0,,gbs/,1989.0,jp
/gbs/cto/6054155470.html,"2000 Jaguar S Type 4.0 Navagation No Rust Clean Int. 81,000 Miles",Malden,2200.0,81000.0,gbs/,2000.0,malde
/gbs/cto/6054171834.html,2003 Toyota camry le,Manchester,2495.0,,gbs/,2003.0,manch
/sob/cto/6054171632.html,97 2 door chevy tahoe,bridgewater,4500.0,,sob/,,bridg
/nos/cto/6054170822.html,2007 Chevy 3500 Dully 4x4 with Plow,Dracut,12700.0,,nos/,2007.0,dracu
/gbs/cto/6054170467.html,cleancarfax2001 Dodge Ram QQ1powerlocksandcarfax2001,,1500.0,,gbs/,2001.0,
/sob/cto/6054136603.html,2015 Mercedes-Benz C-Class C-Class C300 4MATIC Sedan 4D,Quincy,33000.0,,sob/,2015.0,quinc
/gbs/cto/6054168640.html,2003 Infiniti G35,,2400.0,,gbs/,2003.0,
/gbs/cto/6054168291.html,Mercedes s430,PRovidence,3800.0,,gbs/,,provi
/gbs/cto/6054139579.html,Aluminum Wheels- 09 Dodge Ram 15oo,,4100.0,,gbs/,2009.0,
/sob/cto/6054166561.html,GMC Sierra 2500HD,Mansfield,6750.0,,sob/,2000.0,mansf
/nos/cto/6054166096.html,2001 Honda Odyssey,lynn,2195.0,,nos/,2001.0,lynn
/sob/cto/6054165454.html,Great Work Truck Great Price,Hingham,9888.0,,sob/,,hingh
/bmw/cto/6038265036.html,PLOW TRUCK,HUDSON,3500.0,,bmw/,,hudso
/sob/cto/6050505661.html,Mint running great condition 1997 Mercedes S500 well maintained LOOK,Dartmouth,2400.0,,sob/,1997.0,dartm
/bmw/cto/6037093934.html,'98 DODGE RAM 2500 W/PLOW,HUDSON,4000.0,,bmw/,2000.0,hudso
/bmw/cto/6037037370.html,"CHEVY 3500 4 X 4, CAB AND CHASSIS FOR PARTS",HUDSON,1200.0,,bmw/,2000.0,hudso
/gbs/cto/6046527658.html,2009 Kia Spectra,Boston,4950.0,,gbs/,2009.0,bosto
/bmw/cto/6029044022.html,'96 FORD F-250 TRUCK W/PLOW,HUDSON,3500.0,,bmw/,,hudso
/sob/cto/6050926303.html,1996 Toyota Camry,Halifax,1500.0,,sob/,1996.0,halif
/bmw/cto/6029040645.html,TRUCK FOR PARTS OR RESTORATION,HUDSON,800.0,,bmw/,,hudso
/bmw/cto/6054144738.html,"2005 Mercury Grand Marquis, only 64,000 miles!","Milford,",4995.0,64000.0,bmw/,2005.0,milfo
/gbs/cto/6054020884.html,Camero Auction Access,dealer,1500.0,,gbs/,,deale
/gbs/cto/6054158625.html,2003 Volkswagen Passat GLX AWD V-6 Tow PKG,Malden,2200.0,,gbs/,2003.0,malde
/sob/cto/6054043092.html,04 Nissan Pathfinder se .. beautiful truck very low miles.. must sell,Quincy,4800.0,,sob/,2004.0,quinc
/nwb/cto/6054052731.html,2002 Saab 9-3 Covertible,,2000.0,,nwb/,2002.0,
/nos/cto/6019182663.html,DO YOU WANT OUT OF YOUR LEASE????,marblehead,,,nos/,,marbl
/gbs/cto/6038475699.html,2007 Toyota Sienna,Revere,6900.0,,gbs/,2007.0,rever
/gbs/cto/6054131298.html,2008 FORD EDGE LIMITED,EVERETT,12200.0,,gbs/,2008.0,evere
/gbs/cto/6054018302.html,"2007 Cadillac DTS 41,000 Miles Black on Black",Tyngsborough,11999.0,41000.0,gbs/,2007.0,tyngs
/nwb/cto/6054136929.html,07 Chevrolet Colorado 39000 miles,Southern,9850.0,39000.0,nwb/,2007.0,south
/gbs/cto/6054149639.html,2001 TOYOTA CELICA ($2000 OBO),Dedham,2000.0,,gbs/,2001.0,dedha
/gbs/cto/6053948304.html,2009 Honda Pilot EX-L Limited V6 FM/CD CAR,boston,3000.0,,gbs/,2009.0,bosto
/gbs/cto/6050843399.html,2003 HONDA ACCORD 4 cyl,Boston,3400.0,,gbs/,2003.0,bosto
/nos/cto/6047164534.html,Low miles 2011 BMW GT550i XDrive,Wayland,19990.0,,nos/,2011.0,wayla
/bmw/cto/6039800376.html,Very nice 1999 Honda CR-V AWD,Wayland,4900.0,,bmw/,1999.0,wayla
/nos/cto/6039935274.html,2010 Ford Fusion hybrid,Providence,7800.0,,nos/,2010.0,provi
/sob/cto/6039919053.html,2010 Ford Fusion hybrid,Providence,7800.0,,sob/,2010.0,provi
/bmw/cto/6039926378.html,2010 Ford Fusion hybrid,Providence,7800.0,,bmw/,2010.0,provi
/nos/cto/6035089011.html,2006,Providence,4500.0,,nos/,2006.0,provi
/gbs/cto/6043136474.html,2002 Mazda Tribute,Providence,2750.0,,gbs/,2002.0,provi
/bmw/cto/6035575619.html,Nice 2004 Toyota Camry LE,Wayland,5300.0,,bmw/,2004.0,wayla
/bmw/cto/6040713368.html,Very clean 2014 Maserati Ghibli Q4 AWD,Wayland,43500.0,,bmw/,2014.0,wayla
/bmw/cto/6040667248.html,Low miles 2013 BMW 650i Xdrive grand coupe,Wayland,45500.0,,bmw/,2013.0,wayla
/nwb/cto/6039931044.html,2010 Ford Fusion,Providence,7800.0,,nwb/,2010.0,provi
/bmw/cto/6041202487.html,Very low miles 2016 Mini Cooper,Wayland,17900.0,,bmw/,2016.0,wayla
/sob/cto/6054140628.html,2006 F350 6.0 Bulletproofed,,13000.0,,sob/,2006.0,
/sob/cto/6054140115.html,2013 Toyota  RAV4  AWD,Weymouth,17800.0,,sob/,2013.0,weymo
/gbs/cto/6054102771.html,2003 Volkswagen Jetta,Malden,2999.0,,gbs/,2003.0,malde
/bmw/cto/6054136876.html,04 HONDA CIVIC LX SEDAN- 137 K MILES,METRO,3700.0,137000.0,bmw/,2004.0,metro
/sob/cto/6033910664.html,1997 Mustang Gt,Hingham,3700.0,,sob/,1997.0,hingh
/gbs/cto/6049043362.html,2006 Honda Accord EX,,5900.0,,gbs/,2006.0,
/gbs/cto/6054040753.html,LOADING 2004 Toyota Camry Has 146k miles automatic transmission,,1000.0,146000.0,gbs/,2004.0,
/sob/cto/6054135030.html,2004 Jeep grand Cherokee,Yarmouth,3900.0,,sob/,2004.0,yarmo
/bmw/cto/6039791756.html,2010 AUDI A5 CABRIOLET PREMIUM PLUS QUATTRO SPORT EDITION LOW MILES,MILFORD,17000.0,,bmw/,2010.0,milfo
/nwb/cto/6054131547.html,2006 Hyundai Santa Fe V6,Billerica,3700.0,,nwb/,2006.0,bille
/sob/cto/6050754421.html,2009 Mercury Mariner,Revere,5599.0,,sob/,2009.0,rever
/gbs/cto/6054018658.html,AM/FM/2004.Nissan 350z!!!,,1500.0,,gbs/,2004.0,
/gbs/cto/6050672811.html,08 accord EX-L $7100.00,Manchester,,,gbs/,2008.0,manch
/gbs/cto/6037277217.html,2007 civic 123000 miles,Quincy,5500.0,123000.0,gbs/,2007.0,quinc
/gbs/cto/6054126594.html,1955 chevy bel air 2 door post,Woburn,14000.0,,gbs/,1955.0,wobur
/gbs/cto/6054125844.html,"04 FORD TAURUS FOR $2,000",South,1500.0,,gbs/,2004.0,south
/gbs/cto/6054123524.html,2003 audi a 8,,,,gbs/,2003.0,
/gbs/cto/6054051034.html,New-Suspension/2001 Jeep Wrangler Original/Cruise/Brakes/Fully/4.0L/On,,1000.0,,gbs/,2001.0,
/nos/cto/6054121700.html,2007 Chevy 3500 Dully 4x4,Dracut,11900.0,,nos/,2007.0,dracu
/gbs/cto/6054120966.html,2008 Pontiac G6,Boxborough,4000.0,,gbs/,2008.0,boxbo
/gbs/cto/6054120895.html,2009 Chevy AVEO 78K miles LOW MILEAGE,Swampscott,3400.0,78000.0,gbs/,2009.0,swamp
/nos/cto/6054120239.html,2006 nissan sentra SE,Lexington,1100.0,,nos/,2006.0,lexin
/gbs/cto/6054119440.html,porsche Boxster,Newtonville,19000.0,,gbs/,,newto
/sob/cto/6053974175.html,2004 Nissan Murano.SL.AWD.143k.,,2995.0,143000.0,sob/,2004.0,
/gbs/cto/6043422950.html,2006 Subaru Outback wagon AWD clean outback like low price,maynard,4700.0,,gbs/,2006.0,mayna
/gbs/cto/6043425635.html,Mercedes C240 4matic AWD Sedan leather sunroof loaded,Maynard,4900.0,,gbs/,,mayna
/gbs/cto/6043427726.html,"2006 TOYOTA SEQUOIA 3rd seat, 4WD, like a land cruiser",MAYNARD,6900.0,,gbs/,2006.0,mayna
/gbs/cto/6043426619.html,"2007 Audi Q7 Premium package, AWD, Serviced, Pano roof, Camera, Nav",maynard,9900.0,,gbs/,2007.0,mayna
/gbs/cto/6043455764.html,"2009 Honda Accord EX, loaded, Black Leather Low mile, clean",maynard,8500.0,,gbs/,2009.0,mayna
/gbs/cto/6043424605.html,"2009 Vw Jetta Wolfsburg edition Auto, leather,sunroof, Alloys, 2.0 Tur",MAYNARD,3500.0,,gbs/,2009.0,mayna
/bmw/cto/6054115815.html,2013- 5 door Ford Fiesta SE - Very Good Condition,"Bedford,",7900.0,,bmw/,2013.0,bedfo
/sob/cto/6013476137.html,2006 Chevy 1 Ton Van,,5800.0,,sob/,2006.0,
/bmw/cto/6050709400.html,1966 Mustang Convertible,,22000.0,,bmw/,1966.0,
/gbs/cto/6054113466.html,2007 Subaru Tribeca,Medford,9000.0,,gbs/,2007.0,medfo
/gbs/cto/6054077152.html,2004 Chevrolet Silverado,Dorchester,2800.0,,gbs/,2004.0,dorch
/gbs/cto/6053982624.html,2007 Lexus IS350 Runs Like A Dream,Boston,3108.0,,gbs/,2007.0,bosto
/nwb/cto/6054107900.html,Ford Thunderbird 1957,"Concord,",49900.0,,nwb/,1957.0,conco
/gbs/cto/6033613839.html,2005 INFINITY G35,,,,gbs/,2005.0,
/gbs/cto/6054103663.html,SOLID! 1972 BUICK SKYLARK CONVERTIBLE SOUTHERN BIGBLOCK CAR! NO MOTOR!,,5999.0,,gbs/,1972.0,
/nwb/cto/6050782521.html,2004 HONDA CIVIC LX,Tyngsboro,3999.0,,nwb/,2004.0,tyngs
/gbs/cto/6050784826.html,2008 Honda Civic EX,Tyngsboro,4500.0,,gbs/,2008.0,tyngs
/nos/cto/6054100316.html,2004 ford e350,Methuen,,,nos/,2004.0,methu
/nwb/cto/6053958794.html,2011 Jeep Patriot 4x4,Lowell,6000.0,,nwb/,2011.0,lowel
/bmw/cto/6043330686.html,1979 Ford Bronco,,8000.0,,bmw/,1979.0,
/gbs/cto/6054093164.html,JAGUAR XJ8 (69000 MILES) MINT MINT WHITE JAGUAR WITH LOW MILES,FRANKLIN,7600.0,69000.0,gbs/,2000.0,frank
/gbs/cto/6053908792.html,2008 Grey Honda Accord EXL,,2000.0,,gbs/,2008.0,
/gbs/cto/6054075717.html,2012 Buick Enclave CXL,Hampstead,2850.0,,gbs/,2012.0,hamps
/gbs/cto/6054091549.html,2005 Dodge Ram 1500 Club cab,Malden,1500.0,,gbs/,2005.0,malde
/gbs/cto/6033770918.html,2014 Toyota Corolla 27K Miles,Somerville,11000.0,27000.0,gbs/,2014.0,somer
/gbs/cto/6029675122.html,2007 Ford F150 F-150 XLT 5.4L V8 CrewCab 4x4,Revere,12500.0,,gbs/,2007.0,rever
/nwb/cto/6036444852.html,1991 c1500 Chevy cruiser Florida truck,,,,nwb/,1991.0,
/gbs/cto/6054084925.html,1998 Buick LeSabre - Don't Miss Out,Woburn,1000.0,,gbs/,1998.0,wobur
/sob/cto/6054084088.html,2006 Scion tC,Brockton,4400.0,,sob/,2006.0,brock
/nos/cto/6054079614.html,2006 honda accord 4door 4 cyl auto 120k,malden,4500.0,120000.0,nos/,2006.0,malde
/nos/cto/6054077630.html,2008 Hyundai Santa Fe Limited leather third row seating DVD most optio,Malden,6900.0,,nos/,2008.0,malde
/gbs/cto/6047715920.html,Good to go 2005 Ford 500 milles 250000,Newton,850.0,,gbs/,2005.0,newto
/sob/cto/6047896367.html,2005 Ford F-350 crew cab,Hanover,6950.0,,sob/,2005.0,hanov
/sob/cto/6054077339.html,2003 dodge Dakota sxt,,4000.0,,sob/,2003.0,
/nos/cto/6054077193.html,2004 Dodge ram 1500 SLT crew cab 4 x 4,Malden,5900.0,,nos/,2004.0,malde
/nos/cto/6054076518.html,Priced to sell Ford F150 Lariat 5.4 Triton,Woburn,8000.0,,nos/,2015.0,wobur
/gbs/cto/6054076308.html,2000 s10 blazer 4x4,Salem,1300.0,,gbs/,2000.0,salem
/nos/cto/6054075061.html,2009 pontiac g3 4 door automatic,malden,3800.0,,nos/,2009.0,malde
/nos/cto/6054074476.html,2011 ford fusion sel  v-6 auto leather loaded 109k miles,malden,6500.0,109000.0,nos/,2011.0,malde
/nos/cto/6054073796.html,2007 Volkswagen Jetta 69k miles auto,Malden,6500.0,69000.0,nos/,2007.0,malde
/gbs/cto/6054073758.html,2007 Chevy Cobalt SS!,Malden,2999.0,,gbs/,2007.0,malde
/nos/cto/6054072926.html,"2010  Chrysler PT cruiser four-door automatic only 36,000 miles",Malden,4500.0,36000.0,nos/,2010.0,malde
/nos/cto/6054072609.html,2002 Chevy Tahoe Lt,,5500.0,,nos/,2002.0,
/gbs/cto/6054072474.html,2004 Pontiac GTO,Brockton,8500.0,,gbs/,2004.0,brock
/gbs/cto/6054072234.html,Lifted cummins,Watertown,16000.0,,gbs/,,water
/gbs/cto/6035477764.html,2007 FORD F150 CREW CAB XLT 4WD,HUDSON,9200.0,,gbs/,2007.0,hudso
/gbs/cto/6016321905.html,2003 TOYOTA HIGHLANDER AWD 121k miles,HUDSON,5700.0,121000.0,gbs/,2003.0,hudso
/gbs/cto/6032558566.html,2002 GMC SIERRA SLT MODEL 4X4,HUDSON,5400.0,,gbs/,2002.0,hudso
/gbs/cto/6038478282.html,1932 Ford Convertible,,19500.0,,gbs/,1932.0,
/gbs/cto/6041561469.html,2001 Chevy 1500 Pickup 2WD,"Randolph,Ma",2700.0,,gbs/,2001.0,rando
/nos/cto/6035472047.html,2004 CIVIC COUPE,WAKEFIELD,2495.0,,nos/,2004.0,wakef
/nos/cto/6054066011.html,Mazda,Lawrence,2000.0,,nos/,,lawre
